abholen
abmelden
anbieten
anmelden
ansehen
anziehen
aufregen
ausgeben
auspacken
ausruhen
aussehen
aussuchen
beginnen
benutzen
beraten
beschweren
bestimmen
bewerben
bitten
dauern
erklären
erzählen
finden
gefallen
gehören
geschehen
interessieren
kritisieren
kämpfen
küssen
lachen
legen
leihen
leisten
lösen
lügen
nützen
passen
passieren
pflegen
prüfen
raten
reden
reparieren
sammeln
schaffen
singen
sorgen
stecken
suchen
tanken
verbieten
verbrauchen
verdienen
verlangen
verlieren
versprechen
versuchen
vorstellen
warnen
weinen
werden
zahlen
ändern
ärgern
ärgern
überlegen
überzeugen
