abfahren
abholen
abstellen
anfangen
ansehen
anstellen
antworten
anziehen
arbeiten
aufhören
aufmachen
aufpassen
aufräumen
aufstehen
aufwachen
ausmachen
aussteigen
ausziehen
backen
bedeuten
bedienen
bekommen
beraten
berichten
beschreiben
besichtigen
besorgen
bestehen
bestellen
besuchen
bezahlen
bieten
bleiben
brauchen
bringen
buchstabieren
dauern
duschen
dürfen
einkaufen
einladen
einpacken
einschlafen
einsteigen
einzahlen
entscheiden
entschuldigen
erfinden
erkennen
erklären
erledigen
erzählen
essen
fahren
fallen
fehlen
feiern
fernsehen
fliegen
fotografieren
fragen
freuen
fließen
frühstücken
funktioneren
geben
gebrauchen
gefallen
gehen
gehen
gehören
gewinnen
gießen
glauben
haben
heiraten
heißen
helfen
hinfallen
holen
hören
kaufen
kennen
kennenlernen
klingeln
kochen
kommen
kontrollieren
korrigieren
kosten
können
kündigen
lassen
laufen
leben
legen
lernen
lesen
lieben
machen
malen
meinen
merken
messen
mitbringen
mitkommen
mitnehmen
möchten
mögen
müssen
nehmen
nennen
operieren
ordnen
packen
parken
passen
passieren
putzen
rauchen
reichen
reinigen
reisen
reparieren
rufen
sagen
schenken
schicken
schlafen
schmecken
schneiden
schreiben
schwimmen
sehen
sein
sitzen
sollen
spazieren
spielen
sprechen
spülen
stattfinden
stehen
stellen
sterben
stimmen
studieren
stören
tanzen
telefonieren
tragen
treffen
trinken
tun
umziehen
üben
überlegen
übernachten
vergessen
vergleichen
verkaufen
verlassen
verstehen
verwendern
vorbeikommen
vorbereiten
vorhaben
wachsen
wandern
warten
waschen
wechseln
wecken
wegfahren
wehtun
werden
wohnen
wählen
zeichnen
zeigen
ziehen
zuhören
zurückgeben
zusammengehören
