abends
auch
bald
besonders
bitte
da
danach
dann
draußen
eben
eigentlich
endlich
erst
etwa
fast
ganz
genug
gern
heute
hier
immer
jetzt
leider
lieber
manchmal
meistens
mittags
morgen
morgens
nachmittags
nachts
natürlich
nicht
nie
noch
nur
oben
oft
schon
sehr
selbst
so
sofort
sogar
unten
überall
übrigens
veroher
verschieden
viel
vielleicht
vorwiegend
ziemlich
zuerst
zusammen
