alt
arbeitslos
arm
bequem
berufstätig
berühmt
billig
bitter
blau
breit
deutsch
dick
direkt
dunkel
dünn
ehrlich
endgültig
eng
erkältet
falsch
fantastisch
fertig
fest
fett
frei
frisch
früh
früher
gebrochen
gefährlich
geschieden
geschlossen
gesund
geöffnet
gleich
glücklich
groß
grün
gut
günstig
hart
heiß
hell
herrlich
herzlich
hoch
hässlich
interessant
international
kalt
kaputt
klein
krank
kurz
kühl
lang
langsam
lebendig
ledig
leer
leise
lieb
lieber
lustig
mild
modern
müde
nah
nervös
nett
neu
niedrig
normal
nächst-
obligatorisch
offiziell
originell
praktisch
privat
reich
richtig
rot
ruhig
salzig
satt
sauber
sauer
scharf
schlank
schlecht
schlimm
schmal
schnell
schrecklich
schwer
schön
sozial
spät
stark
still
süß
teuer
tief
trocken
typisch
verboten
verheiratet
voll
vorsichtig
warm
wichtig
willkommen
wunderbar
zufrieden
ähnlich
